,0,1
GRB081221,0.9899648339466101,0.9895934886791234
GRB120119A,0.997548704816219,0.9980036048404339
GRB210204A,0.9995965294154696,0.999957287588527
GRB200613A,0.9965285969430371,0.9990530420357401
GRB171010A,0.9984022741561297,0.9985410383822979
GRB130925A,1.0010056788365025,1.0014754498464618
GRB180720B,1.0089611027620733,0.9879700202141662
GRB131231A,1.0002779242849584,1.0003498499578118
GRB131108A,1.0043744534341976,1.002962124738346
GRB150514A,1.0155706074275623,0.9803908229364624
GRB150314A,0.9980668128686522,1.0004174987825123
GRB130427A,1.0021111778212306,1.0016548696938834
GRB210610B,1.0010730514253952,1.0007272322613474
GRB130518A,1.0019935302363137,1.0012772070859208
GRB150821A,0.995844563257577,1.0012294878409356
GRB090618,1.00304214854839,0.9999794631499903
GRB090926A,1.0196490466391834,1.0221434819043873
GRB140508A,0.9749653106939155,0.9711645463869177
GRB140206A,0.9982627767518006,1.0004373019466513
GRB141028A,0.9997965147993484,1.0084311392218166
GRB100728A,0.9984369147114177,0.9980773360085338
GRB180703A,1.000831776605941,1.0000871617236058
GRB150403A,1.0034614544983305,0.9941884908374571
GRB080916C,1.0080363533142085,1.0097402464430376
GRB090328,0.9962244779796986,0.997298731306907
GRB160509A,0.9547974557514621,0.9810366533227592
GRB200829A,0.9991473409465959,0.9994706043246476
GRB210619B,0.997973995184112,0.9946909953568
GRB091003A,0.9628106011085438,0.9852269713543541
GRB160625B,0.9990218004049293,1.0005201098707128
GRB201216C,1.0071219376179479,1.014112756258234
GRB190114C,1.0003018839148254,1.0012578025283538
