 GRB,E0,Emax,redshift
 GRB210619B,10,11000,1.937
 GRB210610B,30,380,1.13
 GRB210204A,10,400,0.876
 GRB201216C,15,700,1.1
 GRB200829A,25,3500,1.25
 GRB200613A,30,300,1.22
 GRB190114C,10,5000,0.425
 GRB180720B,25,17000,0.654
 GRB180703A,20,400,0.6678
 GRB171010A,10,620,0.3285
 GRB160625B,10,20000,1.41
 GRB160509A,10,800,1.17
 GRB150821A,10,280,0.755
 GRB150514A,20,200,0.807
 GRB150403A,35,700,2.06
 GRB150314A,20,800,1.758
 GRB141028A,40,400,2.33
 GRB140508A,10,720,1.027
 GRB140206A,20,320,2.73
 GRB131231A,10,713,0.642
 GRB131108A,20,500,2.4
 GRB130925A,10,300,0.347
 GRB130518A,10,1200,2.488
 GRB130427A,10,5000,0.3399
 GRB120119A,25,500,1.728
 GRB100728A,40,400,1.567
 GRB091003A,10,800,0.8969
 GRB090926A,10,800,2.1062
 GRB90618,10,700,0.54
 GRB90328,30,500,0.736
 GRB81221,10,300,2.26
 GRB080916C,10,600,4.35
