
GRB,GRB210619B,GRB210610B,GRB210204A,GRB201216C,GRB200829A,GRB200613A,GRB190114C,GRB180720B,GRB180703A,GRB171010A,GRB160625B,GRB160509A,GRB150821A,GRB150514A,GRB150403A,GRB150314A,GRB141028A,GRB140508A,GRB140206A,GRB131231A,GRB131108A,GRB130925A,GRB130518A,GRB130427A,GRB120119A,GRB100728A,GRB091003A,GRB090926A,GRB090618,GRB090328,GRB081221,GRB080916C
E0,10,30,10,15,25,30,10,25,20,10,10,10,10,20,35,20,40,10,20,10,20,10,10,10,25,40,10,10,10,30,10,10
Emax,11000,380,400,700,3500,300,5000,17000,400,620,20000,800,280,200,700,800,400,720,320,713,500,300,1200,5000,500,400,800,800,700,500,300,600
redshift,1.937,1.13,0.876,1.1,1.25,1.22,0.425,0.654,0.6678,0.3285,1.41,1.17,0.755,0.807,2.06,1.758,2.33,1.027,2.73,0.642,2.4,0.347,2.488,0.3399,1.728,1.567,0.8969,2.1062,0.54,0.736,2.26,4.35
