,0,1,2
GRB150314A,1.0,1.0356359441666558,1.0423271955499616
GRB200829A,1.0,0.9719592864555384,0.901835540818216
GRB131231A,1.0,1.0347210954405455,0.9133135337672832
GRB150821A,1.0,1.024072933330235,1.0295449489245394
GRB160509A,1.0,1.172288631849637,1.152800968138577
GRB171010A,1.0,1.0472271562932824,1.0354731179020666
GRB131108A,1.0,1.0487255319544488,1.0652189884881853
GRB080916C,1.0,1.0577187972827764,1.0698552665186198
GRB201216C,1.0,1.045834337359357,1.086566183624897
GRB140508A,1.0,1.1270967139737578,1.099294361987964
GRB130518A,1.0,1.1954551052511435,1.213068027495753
GRB090618,1.0,1.0353097403692795,1.0493037355233872
GRB180703A,1.0,1.025981354828133,1.018559981798412
GRB190114C,1.0,0.5316011500981933,0.8405659928671346
GRB090926A,1.0,1.1830969496916186,1.2207108279439698
GRB120119A,1.0,1.021229809976099,1.0478027922025583
GRB210619B,1.0,1.2628688094680445,0.6506920395611059
GRB140206A,1.0,1.036414468229303,1.0523703318414603
GRB150514A,1.0,-11.179337127518952,-20.44589027629082
GRB130427A,1.0,0.8620497129344107,0.7737804725036801
GRB210610B,1.0,1.024248846149194,1.0229047736674544
GRB150403A,1.0,1.0780441018161797,1.0751474936242404
GRB091003A,1.0,0.9073671163061315,0.743971404426963
GRB210204A,1.0,1.0110029361469992,1.018267037501459
GRB090328,1.0,1.0103976264334809,1.0199225957963503
GRB200613A,1.0,1.050501387618238,1.0627574145344862
GRB180720B,1.0,1.131009997934175,1.1631955193063173
GRB130925A,1.0,0.9131208050769226,0.931114999583167
GRB160625B,1.0,0.9534954219020523,1.0665387194163494
GRB100728A,1.0,1.0243489136064465,1.0139637026168407
GRB081221,1.0,1.062942175697131,1.0643448453509685
GRB141028A,1.0,1.033741252379225,1.0588612295376243
